region,age_group,population_millions,share_percent
Africa,0-4,211.2,14.27
Africa,5-9,195,13.18
Africa,10-14,177.4,11.99
Africa,15-19,155.4,10.51
Africa,20-24,133.2,9
Africa,25-29,115.2,7.78
Africa,30-34,100.8,6.81
Africa,35-39,87.5,5.91
Africa,40-44,73.7,4.98
Africa,45-49,59.7,4.03
Africa,50-54,48.3,3.26
Africa,55-59,38.8,2.62
Africa,60-64,30.5,2.06
Africa,65-69,22.5,1.52
Africa,70-74,15,1.01
Africa,75-79,8.8,0.59
Africa,80-84,4.4,0.3
Africa,85-89,1.8,0.12
Africa,90-94,0.5,0.03
Africa,95-99,0.1,0.01
Africa,100+,0,0
Americas,0-4,68.1,6.53
Americas,5-9,73.3,7.03
Americas,10-14,75.8,7.28
Americas,15-19,77.4,7.43
Americas,20-24,78.2,7.51
Americas,25-29,78.3,7.52
Americas,30-34,78.7,7.55
Americas,35-39,75.4,7.24
Americas,40-44,71.2,6.83
Americas,45-49,64.4,6.18
Americas,50-54,60.6,5.82
Americas,55-59,57.1,5.48
Americas,60-64,53,5.09
Americas,65-69,44.4,4.26
Americas,70-74,34.4,3.3
Americas,75-79,24.3,2.34
Americas,80-84,14.9,1.43
Americas,85-89,8,0.77
Americas,90-94,3.4,0.32
Americas,95-99,0.9,0.08
Americas,100+,0.1,0.01
Asia,0-4,336.6,7.05
Asia,5-9,377.1,7.9
Asia,10-14,383.6,8.03
Asia,15-19,367.4,7.69
Asia,20-24,361.2,7.56
Asia,25-29,360.7,7.55
Asia,30-34,375.9,7.87
Asia,35-39,362.2,7.58
Asia,40-44,323.3,6.77
Asia,45-49,295.7,6.19
Asia,50-54,297.9,6.24
Asia,55-59,264.7,5.54
Asia,60-64,201,4.21
Asia,65-69,175.4,3.67
Asia,70-74,130.5,2.73
Asia,75-79,79.3,1.66
Asia,80-84,48.2,1.01
Asia,85-89,25,0.52
Asia,90-94,8.9,0.19
Asia,95-99,1.9,0.04
Asia,100+,0.2,0.01
Europe,0-4,34.5,4.62
Europe,5-9,39.9,5.35
Europe,10-14,41.4,5.54
Europe,15-19,39.7,5.31
Europe,20-24,39.2,5.25
Europe,25-29,42.2,5.65
Europe,30-34,49.5,6.63
Europe,35-39,53.1,7.11
Europe,40-44,52.6,7.05
Europe,45-49,51.7,6.92
Europe,50-54,51.7,6.92
Europe,55-59,51.3,6.86
Europe,60-64,50.1,6.71
Europe,65-69,44.5,5.96
Europe,70-74,38,5.09
Europe,75-79,27.1,3.63
Europe,80-84,20.4,2.73
Europe,85-89,12.9,1.73
Europe,90-94,5.5,0.73
Europe,95-99,1.4,0.19
Europe,100+,0.2,0.02
Oceania,0-4,3.4,7.5
Oceania,5-9,3.5,7.59
Oceania,10-14,3.4,7.57
Oceania,15-19,3.3,7.16
Oceania,20-24,3.2,7
Oceania,25-29,3.3,7.35
Oceania,30-34,3.4,7.48
Oceania,35-39,3.2,7.11
Oceania,40-44,2.9,6.42
Oceania,45-49,2.6,5.81
Oceania,50-54,2.6,5.75
Oceania,55-59,2.4,5.16
Oceania,60-64,2.2,4.83
Oceania,65-69,1.9,4.08
Oceania,70-74,1.6,3.4
Oceania,75-79,1.2,2.63
Oceania,80-84,0.7,1.64
Oceania,85-89,0.4,0.94
Oceania,90-94,0.2,0.43
Oceania,95-99,0.1,0.12
Oceania,100+,0,0.01
