region,age_group,population_millions,share_percent
Africa,Under-5s,211.2,14.3
Africa,Ages 5-14,372.4,25.2
Africa,Ages 15-24,288.7,19.5
Africa,Ages 25-64,554.4,37.5
Africa,Ages 65+,53,3.6
Americas,Under-5s,68.1,6.5
Americas,Ages 5-14,149.1,14.3
Americas,Ages 15-24,155.6,14.9
Americas,Ages 25-64,538.7,51.7
Americas,Ages 65+,130.3,12.5
Asia,Under-5s,336.6,7
Asia,Ages 5-14,760.7,15.9
Asia,Ages 15-24,728.6,15.3
Asia,Ages 25-64,2481.3,51.9
Asia,Ages 65+,469.2,9.8
Europe,Under-5s,34.5,4.6
Europe,Ages 5-14,81.3,10.9
Europe,Ages 15-24,78.9,10.6
Europe,Ages 25-64,402.2,53.9
Europe,Ages 65+,149.8,20.1
Oceania,Under-5s,3.4,7.5
Oceania,Ages 5-14,6.9,15.2
Oceania,Ages 15-24,6.5,14.2
Oceania,Ages 25-64,22.7,49.9
Oceania,Ages 65+,6,13.3
