country,region,income_ppp,life_expectancy,population_millions
China,East Asia & Pacific,13334,76.9,1376.05
India,South Asia,5903,66.8,1311.05
United States,Americas,53354,79.1,321.77
Indonesia,East Asia & Pacific,10504,70.9,257.56
Brazil,Americas,15441,75.6,207.85
Pakistan,South Asia,4743,66.5,188.92
Nigeria,Sub-Saharan Africa,5727,61.3,182.2
Bangladesh,South Asia,3161,70.1,161
Russia,Europe & Central Asia,23038,73.1,143.46
Mexico,Americas,16850,74.5,127.02
Japan,East Asia & Pacific,36162,83.5,126.57
Philippines,East Asia & Pacific,6876,70.2,100.7
Ethiopia,Sub-Saharan Africa,1520,63.6,99.39
Vietnam,East Asia & Pacific,5623,76.5,93.45
Egypt,Middle East & North Africa,11031,71.3,91.51
Germany,Europe & Central Asia,44053,81.1,80.69
Iran,Middle East & North Africa,15573,78.5,79.11
Turkey,Europe & Central Asia,19360,76.5,78.67
"Congo, Dem. Rep.",Sub-Saharan Africa,809,58.3,77.27
Thailand,East Asia & Pacific,14512,75.1,67.96
United Kingdom,Europe & Central Asia,38225,81.4,64.72
France,Europe & Central Asia,37599,81.9,64.4
Italy,Europe & Central Asia,33297,82.1,59.8
South Africa,Sub-Saharan Africa,12509,63.7,54.49
Myanmar,East Asia & Pacific,4012,67.9,53.9
Tanzania,Sub-Saharan Africa,2571,63.4,53.47
South Korea,East Asia & Pacific,34644,80.7,50.29
Colombia,Americas,12761,75.8,48.23
Spain,Europe & Central Asia,32979,81.7,46.12
Kenya,Sub-Saharan Africa,2898,66.6,46.05
Ukraine,Europe & Central Asia,8449,72.1,44.82
Argentina,Americas,17344,76.2,43.42
Sudan,Sub-Saharan Africa,3975,69.5,40.23
Algeria,Middle East & North Africa,13434,76.5,39.67
Uganda,Sub-Saharan Africa,1680,60.8,39.03
Poland,Europe & Central Asia,24787,77.3,38.61
Iraq,Middle East & North Africa,14646,72.1,36.42
Canada,Americas,43294,81.7,35.94
Morocco,Middle East & North Africa,7319,74.7,34.38
Afghanistan,South Asia,1925,57.6,32.53
Saudi Arabia,Middle East & North Africa,52469,78.1,31.54
Peru,Americas,11903,77.5,31.38
Venezuela,Americas,15753,75.8,31.11
Malaysia,East Asia & Pacific,24320,75.1,30.33
Uzbekistan,Europe & Central Asia,5598,70.1,29.89
Nepal,South Asia,2352,71.2,28.51
Mozambique,Sub-Saharan Africa,1176,56.4,27.98
Ghana,Sub-Saharan Africa,4099,65.5,27.41
Yemen,Middle East & North Africa,3887,67.6,26.83
North Korea,East Asia & Pacific,1390,71.4,25.16
Angola,Sub-Saharan Africa,7615,61,25.02
Madagascar,Sub-Saharan Africa,1400,64.7,24.24
Australia,East Asia & Pacific,44056,81.8,23.97
Cameroon,Sub-Saharan Africa,2897,59.5,23.34
Cote d'Ivoire,Sub-Saharan Africa,3491,60.3,22.7
Sri Lanka,South Asia,10624,76.5,20.72
Niger,Sub-Saharan Africa,943,62.2,19.9
Romania,Europe & Central Asia,19203,76.8,19.51
Syria,Middle East & North Africa,4637,70.3,18.5
Burkina Faso,Sub-Saharan Africa,1654,62.8,18.11
Chile,Americas,22465,79.3,17.95
Kazakhstan,Europe & Central Asia,23468,68.2,17.63
Mali,Sub-Saharan Africa,1684,57.6,17.6
Malawi,Sub-Saharan Africa,799,60.2,17.22
Netherlands,Europe & Central Asia,45784,80.6,16.92
Guatemala,Americas,7279,73.1,16.34
