year,region,population_millions
1950,Africa,227.8
1950,Americas,335.8
1950,Asia,1367.6
1950,Europe,549.4
1950,Oceania,12.6
1960,Africa,283.9
1960,Americas,417.5
1960,Asia,1691.8
1960,Europe,606.4
1960,Oceania,15.9
1970,Africa,365.5
1970,Americas,515.1
1970,Asia,2136.9
1970,Europe,657.6
1970,Oceania,19.5
1980,Africa,482.9
1980,Americas,615
1980,Asia,2631.6
1980,Europe,695
1980,Oceania,23
1990,Africa,643.5
1990,Americas,723.2
1990,Asia,3209.1
1990,Europe,724.9
1990,Oceania,26.8
2000,Africa,830.2
2000,Americas,833.8
2000,Asia,3746.8
2000,Europe,729.1
2000,Oceania,31.4
2010,Africa,1071.8
2010,Americas,934.3
2010,Asia,4238.7
2010,Europe,739.3
2010,Oceania,37.3
2020,Africa,1379.9
2020,Americas,1024.5
2020,Asia,4686.8
2020,Europe,750.8
2020,Oceania,44.1
2023,Africa,1479.7
2023,Americas,1041.8
2023,Asia,4776.7
2023,Europe,746.9
2023,Oceania,45.6
